name: Carrion Flame Greatsword of Air	 price: 1747.2	 eladodbszam: 42	 mennyivesznek: 268
name: Hearty Gladiator Chestplate	 price: 1744.4	 eladodbszam: 38	 mennyivesznek: 33
name: Apothecary's Mithril Imbued Inscription	 price: 1691.9	 eladodbszam: 402	 mennyivesznek: 119
name: Sapphire Mithril Amulet of the Cleric	 price: 1682.1	 eladodbszam: 110	 mennyivesznek: 13
name: Hearty Splint Legs	 price: 1672.3	 eladodbszam: 2	 mennyivesznek: 196
name: Superior Sigil of Agony	 price: 1653.4	 eladodbszam: 102	 mennyivesznek: 142
name: Carrion Duelist Coat of the Dolyak	 price: 1639.4	 eladodbszam: 125	 mennyivesznek: 49
name: Berserker's Duelist Pauldrons of Balthazar	 price: 1635.9	 eladodbszam: 143	 mennyivesznek: 80
name: Strong Reinforced Scale Legs of the Afflicted	 price: 1631.0	 eladodbszam: 57	 mennyivesznek: 144
name: Hearty Masquerade Mantle	 price: 1620.5	 eladodbszam: 15	 mennyivesznek: 38
name: Traveler's Orrian Bow of Air	 price: 1610.0	 eladodbszam: 44	 mennyivesznek: 1105
name: Honed Banded Legs of the Traveler	 price: 1566.6	 eladodbszam: 68	 mennyivesznek: 66
name: Berserker's Acolyte Boots of the Citadel	 price: 1530.2	 eladodbszam: 195	 mennyivesznek: 156
name: Knight's Gladiator Chestplate	 price: 1485.4	 eladodbszam: 18	 mennyivesznek: 43
name: Honed Gladiator Pauldrons	 price: 1451.1	 eladodbszam: 28	 mennyivesznek: 98
name: Berserker's Duelist Pauldrons of Dwayna	 price: 1410.5	 eladodbszam: 130	 mennyivesznek: 48
name: Rampager's Rifle of Life	 price: 1407.7	 eladodbszam: 29	 mennyivesznek: 497
name: Rampager's Greatsword of Blood	 price: 1401.4	 eladodbszam: 79	 mennyivesznek: 150
name: Valkyrie Masquerade Leggings	 price: 1325.1	 eladodbszam: 32	 mennyivesznek: 21
name: Berserker's Hammer of Serpent Slaying	 price: 1317.4	 eladodbszam: 94	 mennyivesznek: 219
name: Royal Blue Dye	 price: 1269.1	 eladodbszam: 109	 mennyivesznek: 443
name: Malign Glyphic Longblade of Force	 price: 1260.7	 eladodbszam: 22	 mennyivesznek: 324
name: Hearty Gladiator Helm	 price: 1256.5	 eladodbszam: 36	 mennyivesznek: 59
name: Pillaging Gladiator Legplates	 price: 1239.0	 eladodbszam: 29	 mennyivesznek: 36
name: Rampager's Noble Mask	 price: 1236.2	 eladodbszam: 27	 mennyivesznek: 18
name: Mini Shade	 price: 1190.0	 eladodbszam: 70	 mennyivesznek: 252
name: Strong Banded Helm	 price: 1184.4	 eladodbszam: 100	 mennyivesznek: 10
name: Berserker's Rifle of Water	 price: 1171.1	 eladodbszam: 88	 mennyivesznek: 393
name: Knight's Krait Shell	 price: 1152.2	 eladodbszam: 26	 mennyivesznek: 18
name: Berserker's Hammer of Battle	 price: 1119.3	 eladodbszam: 39	 mennyivesznek: 281
name: Cleric's Scepter of Force	 price: 1115.8	 eladodbszam: 41	 mennyivesznek: 64
name: Berserker's Hammer of Energy	 price: 1110.2	 eladodbszam: 83	 mennyivesznek: 302
name: Traveler's Aureate Targe of Air	 price: 1105.3	 eladodbszam: 47	 mennyivesznek: 184
name: Cleric's Speargun of Battle	 price: 1094.8	 eladodbszam: 59	 mennyivesznek: 37
name: Berserker's Krait Battleaxe	 price: 1085.7	 eladodbszam: 73	 mennyivesznek: 159
name: Cleric's Dagger of Agony	 price: 1083.6	 eladodbszam: 41	 mennyivesznek: 205
name: Rampager's Noble Boots	 price: 1082.2	 eladodbszam: 47	 mennyivesznek: 31
name: Explorer's Krait Wand	 price: 1073.1	 eladodbszam: 36	 mennyivesznek: 107
name: Rampager's Axe of Water	 price: 1061.9	 eladodbszam: 80	 mennyivesznek: 200
name: Berserker's Shield of Bloodlust	 price: 1046.5	 eladodbszam: 75	 mennyivesznek: 223
name: Rampager's Shield of Water	 price: 1044.4	 eladodbszam: 32	 mennyivesznek: 61
name: Berserker's Rascal Pants	 price: 1028.3	 eladodbszam: 36	 mennyivesznek: 138
name: Strong Reinforced Scale Helm of Strength	 price: 994.0	 eladodbszam: 99	 mennyivesznek: 175
name: Berserker's Acolyte Gloves of the Centaur	 price: 993.3	 eladodbszam: 177	 mennyivesznek: 70
name: Apothecary's Elder Trident	 price: 985.6	 eladodbszam: 32	 mennyivesznek: 10
name: Strong Gladiator Legplates	 price: 975.8	 eladodbszam: 49	 mennyivesznek: 59
name: Exquisite Chrysocola Jewel	 price: 965.3	 eladodbszam: 572	 mennyivesznek: 90
name: Starry Night Dye	 price: 963.2	 eladodbszam: 174	 mennyivesznek: 222
name: Passiflora Mithril Earring of the Apothecary	 price: 952.0	 eladodbszam: 128	 mennyivesznek: 87
name: Mini Dredge Mining Suit	 price: 942.9	 eladodbszam: 88	 mennyivesznek: 111
name: Berserker's Acolyte Coat of the Afflicted	 price: 933.8	 eladodbszam: 210	 mennyivesznek: 78
name: Rampager's Krait Battleaxe	 price: 925.4	 eladodbszam: 49	 mennyivesznek: 104
name: Berserker's Noble Gloves	 price: 917.7	 eladodbszam: 43	 mennyivesznek: 45
name: Cleric's Bow of Debility	 price: 916.3	 eladodbszam: 57	 mennyivesznek: 148
